-2024_9_14-21_28_26
5_33_41 | DEBUG | [AIRDROP] Player count: 0
5_33_41 | INFO | [AIRDROP] Players to start the airdrop.0
5_38_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
5_38_41 | DEBUG | [AIRDROP] Player count: 0
5_38_41 | INFO | [AIRDROP] Players to start the airdrop.0
5_43_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
5_43_41 | DEBUG | [AIRDROP] Player count: 0
5_43_41 | INFO | [AIRDROP] Players to start the airdrop.0
5_48_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
5_48_41 | DEBUG | [AIRDROP] Player count: 0
5_48_41 | INFO | [AIRDROP] Players to start the airdrop.0
5_53_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
5_53_41 | DEBUG | [AIRDROP] Player count: 0
5_53_41 | INFO | [AIRDROP] Players to start the airdrop.0
5_58_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
5_58_41 | DEBUG | [AIRDROP] Player count: 0
5_58_41 | INFO | [AIRDROP] Players to start the airdrop.0
6_3_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
6_3_41 | DEBUG | [AIRDROP] Player count: 0
6_3_41 | INFO | [AIRDROP] Players to start the airdrop.0
6_8_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
6_8_41 | DEBUG | [AIRDROP] Player count: 0
6_8_41 | INFO | [AIRDROP] Players to start the airdrop.0
6_13_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
6_13_41 | DEBUG | [AIRDROP] Player count: 0
6_13_41 | INFO | [AIRDROP] Players to start the airdrop.0
6_18_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
6_18_41 | DEBUG | [AIRDROP] Player count: 0
6_18_41 | INFO | [AIRDROP] Players to start the airdrop.0
6_23_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
6_23_41 | DEBUG | [AIRDROP] Player count: 0
6_23_41 | INFO | [AIRDROP] Players to start the airdrop.0
6_28_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
6_28_41 | DEBUG | [AIRDROP] Player count: 0
6_28_41 | INFO | [AIRDROP] Players to start the airdrop.0
6_33_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
6_33_41 | DEBUG | [AIRDROP] Player count: 0
6_33_41 | INFO | [AIRDROP] Players to start the airdrop.0
6_38_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
6_38_41 | DEBUG | [AIRDROP] Player count: 0
6_38_41 | INFO | [AIRDROP] Players to start the airdrop.0
6_43_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
6_43_41 | DEBUG | [AIRDROP] Player count: 0
6_43_41 | INFO | [AIRDROP] Players to start the airdrop.0
6_48_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
6_48_41 | DEBUG | [AIRDROP] Player count: 0
6_48_41 | INFO | [AIRDROP] Players to start the airdrop.0
6_53_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
6_53_41 | DEBUG | [AIRDROP] Player count: 0
6_53_41 | INFO | [AIRDROP] Players to start the airdrop.0
6_58_41 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
6_58_41 | DEBUG | [AIRDROP] Player count: 0
6_58_41 | INFO | [AIRDROP] Players to start the airdrop.0
7_3_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
7_3_42 | DEBUG | [AIRDROP] Player count: 0
7_3_42 | INFO | [AIRDROP] Players to start the airdrop.0
7_8_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
7_8_42 | DEBUG | [AIRDROP] Player count: 0
7_8_42 | INFO | [AIRDROP] Players to start the airdrop.0
7_13_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
7_13_42 | DEBUG | [AIRDROP] Player count: 0
